id,review
1840,She's so wakes you up at 9 in the morning. Clear and interesting materials. It's an easy and useful class to take for GenEd.
1918,No Comments
3189,"Hylton is rude and intimidating  and teaches really fast, so you need to be in class and taking notes, AND reading a lot on your own and practicing Connect 24/7. Don't take her unless last option. There's weekly online Connect HW & Quizzes, 3 tests, 1 cumulative final. 2nd part of tests is free response. Be ready to stress & read A LOT!!!!! "
443,Great guy but the material he teaches is very boring. Thought his class would be more biology based but it felt more like a history class. The exams are mostly people and dates.
1741,"Don't take this teacher if you don't understand math. He is n help, so if you can't teach yourself you WILL fail"
3434,This woman should not be a teacher. Her lectures are crap because she just reads off stupid powerpoint slides. Oh yeah and the lab instructors are no better....They speak zero english and always confuse shiet with stuff they learned from their own country...I regret leaving UVA for GMU...it's a joke
17,she is the worst teacher that i have had in college she sits on her high house looking down on her student. she also has a hearing problem and the tests that she give are hard.
1221,Going to his class was the worst part of my day.  He was an a lousy teacher.
4374,This teacher is the nicest by far. He has good intentions and always jokes with his student but isnt too clear on the lectures. His tests are multiple choice but they are very detailed. However he counterbalances this by putting a lot of extra credit questions. Hes cool overall but the class is diff
2654,Excellent!! Learned a lot.
2822,He emphasizes theory a lot. Good for courses like STA447 and if you really want to learn the theory. Knows his stuff and very helpful. Also a very funny guy which made the 3 hour lectures on thursday night bearable. Overall one of the best profs I've had at UofT.
1457,Thinks he knows what he is teaching but in reality the students don't get it and he gets frustrated and complain about them not &quot;listening&quot;. Makes impossible exams even after failing to teach his class properly. Avoid him at all costs!
842,"The teacher doesn't teach the concepts. he only derives the formulae and doesn't tell/show us how to implement them. going to class, for me, seems like a waste of time."
1432,"She was a very interesting teacher, with very helpful examples in class.  she is also very nice and friendly when you talk to her.  I would definently recommand her class."
2823,"Took a couple courses with him years ago.  I thought he was an excellent professor.  Good at explaining topics, approachable, great homework & exam qns.  If you are interested in mathematics then I'm sure you'll hold the same opinion that I do."
964,Great professor.  If you go to his office hours you will get above a 93 on every assignment.  Respect him and he will more than respect youback.
151,"Way too much busy work in this class. The TA grades 40-45% of your work. There is no TA grading scale so it depends on the TA grades and how strict they are. During lectures he does not usually stay on track, and it is hard to find the time useful. He showed plenty of laziness this semester on separate occasions. I did not enjoy this class one bit."
318,"Worst Biology teacher ever! He is always off topic, it is useless to go to lectures, you will have to do everything on your own. Test are hard too"
109,What a nut. He's awesome.
3358,She makes you feel like you are in high school again if you walk in late and she will stop class and point it out. She goes very fast with the material and assumes that everyone has previous knowledge of Accouting. I was very turned of accounting after taking her class. If you study really hard and try your best you can definatelt pass. Go to lab!
530,This was the easiest class i ever took...yeah she is boring as hell but she gives you extra credit for no reason.  I did the bare minimum and walked into the final with 40 extra points.  Needless to say that got well over an A.  TAKE HER
1207,"Best professor I've had.  Teaches you how to think like a scientist, not just how to memorize facts."
2222,Brym is an amazing lecturer.  He lays out the major points of each topic very clearly and provides helpful lecture notes on the website.  He speaks at a good pace that one can easily take notes at.  My only beef is that the tests are insanely specific.
3088,"Everything was going well until topology, and it was crazy hard. Got a 35% on the topology test but with the curve, managed to get a high D. Good with exam appeals, and homework is definitely much harder than the actual exams. Don't put off homework to the day before it's due. Almost droppedpassfailed the class."
3646,"She is the cutest teacher ever: she acts out EVERYTHING, which makes it super easy to remember. (Lol like her little dance when talking about kinetic energy). Tests are almost straight from the notes, with the occasional problem from the book or website thrown in for good measure. Attendance isn't mandatory but since exams are based on notes ......"
3946,easiest class ever. if you take the notes you'll be fine. theres really no need to read the textbook. tests are easy if you study and take the notes. no pop quizzes or anything hard. a few papers but they're pretty easy. she does take attendance though but her classes are interesting and definitely not boring!
1174,Phillis is a very open and exceptionally tuned to the needs of the class.  He also is pretty entertaining during the Red Sox playoffs.
1378,She can effectively teach a class of 500...props
1186,Great teacher esp in such a large class
3690,No Comments
3492,"She is very kind and a good lecturer, though the class feels long and isn't mandatory. The tests are a bit difficult but if you study you should pass, I never study and am scraping by with a B. She has office hours and is very friendly, extra credit questions are on the tests and she is very generous with curves. "
1839,"Prof. Whitbourne is one of the most amazing professors I have ever taken a class from.  Her level of enthusiasm for the subject obvious and contagious.  Without her help and encouragement, I would have never continued on to a sucessful career in psychology.  I laughed at every single joke she made.  UMass is very lucky to have her!"
3507,"Fondufe is a very lively teacher who is passionate about Biology. Sometimes I would bring my boyfriend to the lectures and he sort of became annoyed by her voice, but I thought she was a great speaker. She was clear with how the course would be and made Biology an interesting subject. I would recommend her class."
315,everyone just get old exams and you will easily get an A otherwise your doomed listening and studying for his class your looking at about 6 chapters per test so no need to read all that junk get old exams everything is repeated from the old exams to his current one!
3074,"Weird sense of humor, kind of a weird guy, but a great lecturer. Very clear explanations and willing to take questions. Has a cute dog."
1936,Finds great ways to interest the class besides just lecturing.  Much appreciated
1427,Best class I've taken at Umass. Professor Rahhal is super nice and is extremely helpful. The class is so easy and interesting.
817,"Do yourself a favor and ignore all the ratings that say that he is of any help. I had a 3.8 GPA until I took this class, and FAILED my first college test with this guy. He might be a nice guy but he should have retired 30 years ago. I attended all of his lectures, along with turoing, and BOTH reviews before the test. Got 60's on first two tests."
3864,Learning art was quite boring at times especially during the end of the semester but she tries hard to make it fun. Pay attention to the examples and her PowerPoint slides she talks about in class because it'll def help you on the exams. She's very energetic and loves when people discuss their ideas. Study guides are basically exams. 
734,"Professor Cook is a great teacher. His lectures are clear and I learnt a lot from it. He always made jokes and it is a great fun to go to class. Of course, studying math always takes effort and sometimes tedious, but his class inspired me to learn more and keep going. "
625,oh my goodness he is passionate but he grades our papers as if are papers are going to be published. i am just trying to get a credit and this class is just dragging he continues to go off subject during lecture and his power points are super long. if you want to become a writer or and english major than by all means take this class. 
3984,"Antother teacher that likes to hand out a study guide. She tells you exactly what she wants and nothing else. For the test though u gotta know it well. Class is kinda interesting for an art class, but hard to keep awake in the dark. I'd recommend her."
2589,"not a very good professor. not good at lecturing and tests are unfair, questions a lot of fringe material."
4371,"For the love of god, he has a last name for a first name and a first name for his last name.  Terrible teacher with terrible exams and lectures. Avoid at all costs."
831,"He is a nice guy, but does not know how to teach at all!  Only take this class if you're comfortable with teaching yourself the material."
2929,"I can see how he is not too popular with the students, however his class was my only A first year at U of T. He is very straightforward and lectures go exaclty with the book. very clear slides and basically spoon feeds the information. multiple choice tests can be trciky, but once you get how to do them its better."
1024,"Randy is a really nice guy out of lecture, however, he is not the best professor. He shows an obvious interest in the material and makes lectures interesting but the tests and quizzes are really hard. Most of his questions are vague but similar to the ones taught in lecture. If you write them down and use them to study you should be fine."
2316,"kewl prof, interesting class, can get an A if u read the text &attend lectures!"
4036,this guy thinks he knows everything and his better than everybody else.  He treats his students with no respect at all.
3947,"This prof/class is unbelievable - one of the few classes outside of my major that I actually looked forward to in the course of the week. You become enchanted for an hour and 15 minutes twice a week, completely engulfed into the presented art. It's almost like you are walking through a movie plot that contains history and logic. You understand art."
1814,"Fun and energetic class. Material was really interesting. Extremely easy to get an A - just make sure you do all the SPARK quizzes on time. SONA experiments were a life-saver in this class: 20 points extra credit!!! Definitely take advantage of that. Go to class for the In Class Reaction Papers, really does damage missing those points."
471,STUDY and you'll be fine. I got an A in biological anthro and I am now pulling a high B in cultural anthro. Don't take his classes if your not prepared to work hard.
2807,Just do yourself a favour and choose a different section.  You'll learn more and get a better mark.
410,Very good class! TAKE THIS CLASS!! I strongly recommend taking it with him. Its not really necessary to attend the lectures as long as you have the powerpt slides printed out. He does give pop quizzes occasionally but if you do well enough on the exams you can afford to miss the quizzes and still do well in the class.
51,He's great
2439,&quot;Uh...&quot; &quot;um...&quot; Annoying!!
2920,great prof.
1391,I absolutely love this class! I dont want the semester to be over. She is the best teacher ever and you would crazy to not take this class. She makes hard material so easy. I actually dont mind studying for the tests. Seriously..take it.
621,"Isn't going to let class out early or give you an easy A; you HAVE to do the reading and  the work! HOWEVER, Everett is an exceptional teacher. Lectures are interesting. He gives you everything you need to do well. He's always there to help. Charming, laid-back, amiable-I will definitely be taking more classes with him. Thanks Professor! "
120,"St Alexander is a good experience for 301. Advice for when you're taking him: Youll be getting As and Bs on homework and exams with not much effort. Don't be fooled, the final -20 percent-  is rough. I only solved 1 of 8 problems on it. I wish Id aimed to get 100s on everything so I can learn the stuff."
3849,"As a person, she is funny and awesome. As a professor, she is strict and wants you to do the work in order to get a good grade. She does help you out in case you get stuck."
274,"Molumby is a cool professor, but his lectures are not that all interesting. Sit in front if you want to stay up. Exams are very difficult, and you MUST know the material because his exams are TRICKY. You have 3 basic answers, A & B, A&C, ABC, and none of the above. Easy B if committed."
2917,Worst professor I've had so far. Lectures are very scattered and unorganized.
3029,All I can hear in that class is &quot;RNA blah blah blah VIRUS blah DNA blah blah reverse transcriptase blah blah blah....&quot;
2024,Very technologically advanced for someone her age. Good at distributing salty snacks.
2320,"Tests are too picky and detailed.  They dont reflect those ""broad concepts"""
2555,he turned me into an organic chem genius
1871,Whitbourne was an aweseome professor. She explains the material clearly and you can buy the notes at the Textbook Annex which are really helpful. They're supposed to be supplementary but they're great if you miss class and/or don't feel like doing the reading. Really easy.
2245,"boo brym boo!  man, can't the guy slow down just a little during his lectures&#63;  who wants to listen to 2 hours of boring speed talking on tape at home&#63;"
3613,If you've ever taken a bio or chem class before this class will be super easy. Just pay attention to what she stresses in class and read the book. Its that simple.
915,shes great
3803,"I didn't even buy a textbook, and skipped like half the lectures.  But that's fine!  Going to class really helps but if you have buddies to study with this can be an easy A or B.  She even told us the first day that we didn't even have to come to lectures to hypothetically get an A."
287,"His lectures are not worth going according to my opinion. He just talks to the students in the front. Almost all the time, he spends time talking about stuffs that are not related to lectures and goes off tangent all time. Tests aren't that bad if you study the ppts word by word. Labs are useless."
1616,Freak Of Nature
1411,The class was amazing!!!!! I thought it might be boring being that there were over 400 people in the class but somehow Tammy made us laugh and throughly enjoy the class. Definetely sign up for the class!
179,"Alan is a super laid back and has some really funny stories to tell. Visit him during office hours and he will clear up literally everything for you, as well as make you laugh. Most points come from lab so don't worry if you mess up a test or two, because there is also an optional final. Really never had to use a book of any sort."
3406,"She was a very good teacher I though. She let me in the class without having the right prerequisites, so if you are in that situation don't be scared to talk to her about it. Her tests were easy but the final was pretty hard."
787,"NICEST TEACHER. EVER. He's a great guy. Go to his office hours. The class is terribly confusing and hard, but if you talk to him about your grade he can be reassuring.  Lectures are confusing but he will meet with you personally any time of day to talk about stuff in lecture or your grade."
1068,"Not a good professor, hard to understand, doesn't answer questions. Doesn't give grades back, and doesn't give clear answers to questions."
175,"Molumby is  a great teacher Cons: He doesnt speak into the mic so it can get hard to listen to his lectures occasionally.  His tests are hard and assigns 2 long papers Pros: Labs are very easy. He recycles old exams so get a hold of those and youll be set to get an A in the class He is pro-evolution, so don't argue otherwise. He is understanding"
764,"This man is one of the more un-helpful, not caring teachers i've ever run into. He honesty doesn't care about his students success and Is terrible at teaching. theres better teachers and even though the material isnt so hard, he makes it near impossible somehow"
1042,"Randall Phillis is a great guy, but his teaching style is very strange. He really likes to teach his own way without the book to get you to ""think about biology not read and memorize"" which I enjoy, but it also makes the class very hard. If you pay attention in class and go to the SI sessions you'll be fine, just don't skip!"
3952,"Probably the best teacher at Mason. She makes class so much fun! I wasn't looking forward to taking it b/c I know nothing about art, and I feel so much more passionate about art now...after 1 semester!!! Highly recommended to take her! You will get an A!"
414,"HE IS GOOD PROFESSOR BUT HIS EXAMS ARE NOT EFFICENT. THEY ARE NOT MEASURING WHAT IT NEEDS TO MESASURE. EXAMS AREE NOT RELIABLE AND VALID IN SOME CASES. SOME QUESTIONS IN THE EXAM ARE REALLY NOT MEASURING WHAT IT NEEDS TO. FOR EXAMPLE, WHAT IS THE LEAST DISCOVERED SPECIES HIS ANSWER WOULD BE LET'S SA"
1728,"haha this guy is a joke. i dont understand why peopole like him are allowed to teach, cus he doesnt know how. Dont even bother going to class. i went to  maybe 4 classes all semester. and i have an a-. sooo just pretty much teach yourself using the owls."
2844,"very easy if u memomize hard. You dont have to goto the class...read it yourself, and do (or memorize) the past yr paper...you will have the high probability of getting super high mark !!! Trust me !!!"
2586,she is soooo boring
3916,"Yes, you have to study. Yes, you have to go to class. However, Prof Bauman has more enthusiasm for her course than most instructors I have come across in a long time plus she is not bad on the eyes if you know what I am saying. She will break down what you need to know and is always eager to help anyone who asks."
387,"awesome professor, very intersting classes, practice exams=exams but make sure you read the chapters anyways."
3594,"I was doing really good in beginning, went to all of the classes, took the quizzes and took all the tests. But somehow I ended up with a bad grade and I studied and cared about this class! I think it's because I couldnt really memorize her lectures, you fall asleep because she talks too fast!!and her questions are tricky on exams even she admits it"
3518,"Let's start off by saying that I would have never went to class if it wasn't for the dreaded iClickers. She uses them all the time, and it is worth a good percentage of your grade. Her tests go something like this...  Question #3  A) A Possible Answer B) A Possible Answer C) I think that was an answer D) Both A & B E) All  Its impossible. "
3880,She is a horrible professor !! she acts like she's funny and cool in the beginning  .. but when you actually start taking the tests you notice how harshly she grades her tests !! and she teaches art history as if shes teaching calculus or something really important ! DO NOT TAKE HER UNLESS YOU NEED TOO ! DONT DOO MY MISTAKE !!
3275,I gave her a 2 for clarity because she repeats over and over what you need to know for the exams and stuff. But there's so much ground to cover that really you just have to know everything to get an A or A-. It was tough. You must read and study the book to get an A. She wasn't all that nice either. Very anal about laptops/cell phones etc.
1551,"I did not attend  class,"
4388,"This class was sooooo boring. It's one of those classes you dread going to. He's nice enough personally, but as a teacher, I would definitely not take him again."
720,very funny and laid back lady.  extremely down-to-earth.  this class is mostly a huge therapy session and has been great fun so far.
4073,"At first he will come off very abrasive, but if you pay attention and don't say anything stupid you will find that you will learn more from him than any other professor."
4154,"Yeah, if you get on his bad side you can expect him to grade you harshly.  I know from experience but managed to get a good grade in his class none the less.  I would avoid all possible classes with alternative professors in my major if I can :)"
4149,Best teacher i ever had. He knows more than any teacher I've had in my major so far. midterm and finals were hard as sh*t. 90 minutes for 90 (hard!) questions. learned a ton! he grades very fairly though. I got an A. go to class and you'll be fine.
1338,"BEST PROF. EVER!!! The class material is pretty standard, but she presents it so well that you'll never be bored. Go to the study groups before exams and you'll do fine. drops the lowest test grade and offers extra credit. def. take a class with her!"
1564,"THIS GUY IS AWEFUL. He writes down every single word he says, horrble teacher. tests are nothin like class, worst teacher ever."
4042,"Took his class years ago.  Maybe 2005 or something.  I worked my a** off and still got a D.  I am posting this because I now work for one of the largest Cybersecurity companies in the world.  I love my job and make more than Lyons can dream of. To this day the hell he put me through never helped me.  Stay away from his class, it's useless."
3025,"Approachable, nice prof BUT *high* reading load and this year exam is cumulative *boohoo* Tests are fair but you need to know your material REALLY well. VERY disorganized prof though and has some problems expressing himself really well. overall i like him"
1253,She's awesome!
4295,"Never went to classes, only test days and got a B. You cant just study the study guide because he will put other questions on the tests. To review for testsquizzes, read the whole chapter as well as study guide. Overall not bad"
3747,She is so sweet! She makes her lectures interesting and will work with you a lot office you need help
3678,"Wondeful teacher. What can I say&#63; She made me more interested in Biology. Definitely take bio from her. She is super clear, orginized, fair and helping.If you take good notes and study enough you are destined to get an A from her class.Don't even look for another teacher. Just sign up."
2447,"This prof has a quirky sort of charm to his teaching. Explains concepts pretty well, although it helps a lot to read the textbook afterwards. I think he's one of the best profs in the chem department. :)"
3034,approachable and easy going.  notorious repeater on tests.  over good
1052,"The content in his class resembles the content in upper level classes; however, his class isn't hard. Just go to the lectures, pay attention to what he says and you'll pass. He's a funny guy and wants you to succeed... it's just that his teaching style is unorthodox."
4180,"Prof. Wolf is awesome. She is easy to understand and very willing to help. I'd have a hard time finding a nicer professor. I enjoyed her class and would recommend it to anyone. There are some projects that require some work, but she grades in favor of the students. Definitely an asset to the Mason MBA program. Take this class...you won't regret it!"
626,"Prof. Everett is very passionate about literature and has put a huge amount of work into his online course.  If you are in college to learn and grow as a student, take his class. He provides all the resources you need to succeed.  You just have to put in the effort."
2720,he's a prof&#63;!&#63;!!&#63;!
2998,He is one of the best.Thanks for everything.
599,Don't take this online class if you're looking for a class that doesn't have ridiculous deadlines.
2034,she rocked my world everyon should take this class. a great gen ed
3437,"If your planning on being an accounting major you must take 203 with her. She is so well organized and detailed it will make 301 a joke. No accounting course is easy, just do the homework problems and pay attention to her review sessions."
297,"He never stays on topic, starts randomly talking about zombies or other things. Though it's interesting it doesn't help me learn!!! He's really weird but interesting so I do recommend him. U wont learn a whole lot from him though"
2944,"this is why first year at U of T is so brutal.  Easy classes made hard and unpredicatable to weed ppl out.  Tepperman seems like a good guy, but the test formats are way unfair."
1983,"Nicest teacher ive had.  Ex: The room we were in was hot so she just decided to start bringing us water and ice...seriously just a very nice lady.  Bit Odd, but still very reasonable."
2083,"very funny, really good professor, great course"
2299,"Terrible Prof, attitude problem -  new text every 2 yrs to make $$ off students"
1438,"She is the best. Full of personality & gets the whole class of over 500 kids interacting and coming to class. Plus theres TONS of easy extra credit!  She is sooo nice and clear on everything.  There are a lot of notes, but she does tons of fun activities!"
2873,originally was intrigued about the course. liked the material. he was absolutely boring & he put me to sleep constantly. his books change every year & made me spend extra $$ - the course is too overloaded - must do all readings with both books to JUST pass - no assignments - 2x 25% midterms & 1 final worth 50% - tough - slides not posted
3621,"She trys very hard to explain things...her exams are very tough a lot of the questions are from the book and the cd that comes with it. I think all the bio 213 teachers are not easy, but Fondufe is a mediocre. I suggest making sure you follow with the book, if you do there is no need to ever go to class!"
149,"Molumby teaches a college level course, meaning he expects you to have read ahead of the lecture. No handholding/lecture is supplemental. Learned a lot. Grade is majorly your test avg. only complaint-honors student and most effort I've EVER put into a class/ even organized a study group-got a B. Will spend the next year trying to fix my GPA :/"
1436,"very nice, gives lots of chances for extra credit"
4172,She is an AWESOME Professor. EVERYONE MUST TAKE HER!!! She is very nice and has great personality.
157,"I've had enough. In class right now, hes mad at students for not showing up to his useless lectures. Moreoever, he acknoweldged that everyone is asking what in specific to study for his tests, and his response: ""everything in the book and every slide on every powerpoint should be known 100%"" Would be reasonable if his ppts WERENT hundreds of sides"
4190,"Good teacher. Young, nice, and clear. She teaches both online and in person. Gives you everything you need to do well: slides, online lectures, in-person lectures. I never bought the book and I got an A. Tests are multiple choice. David Geller is a good lab instructor too."
4216,"Excellent professor, you can learn a lot in her class. She is very helpful, extremely organized and she makes it easy to learn obscure concepts."
2476,he makes me wanna go to chem class everyday!
2226,"Bad. Just plain bad.  Did not like the course.  I was thinking about majoring in sociology, but not anymore.  He ruined it."
2942,"ok i came into SOC101 thinkign it was a bird course..and its not! hes a very nice person who makes class interesting, but gives us extremely hard tests"
4225,"She has very bad attitude, hard grader. All Exams are hard. Also, STUPID lab report drive you crazy. No Choice because there ia no any teacher beside her. GGOODD LUCK."
3985,"Dr. Bauman is GREAT!!! She made art history really interesting, and she's very upbeat.  She's always willing to help if you need it, and she'll even offer help if you seem to be struggling.  TAKE HER!!!"
3683,"She is a good professor to take. Good at explaining material, uses various examples. She has very animated teaching skills. Her exams were not hard as long as you study her notes. A lot of note taking but worth the while. Highly recommended teacher!!"
693,"Great lady, kind and easy going. She is a bit unclear in what she expects on assignments but she's an easy grader. Turn something in, get an A. Two papers all semester. Don't bother with the books, although they are really inexpensive, everything you'll read is online. As far as research classes go, you couldn't find an easier one."
3165,This class is a chore to be put bluntly. The material is not super difficult but not the easiest to digest. You need to understand the concepts or the class will be very difficult as the material builds on itself. The instructor was accessible by email and would answer questions very quickly.
1749,"He is a very very nice guy, cares for his students but you will have to make all the effort for any help you want, and if you want an A be ready to do a lot of work and learning yourself because his lectures will not get you an A on the exams, which tend to be very tricky."
1515,"just drop his class...and if you dont, just go to someone elses class this guy sucks"
296,"Molumby is one of the most passionate biology professors at UIC. He is very intelligent, loves what he does and has a great sense of humor...totally recommend him to anyone! I really look forward to having him teach ecology and evolution next semester. Advice: You need to keep up with the class...he is serious when he expects you to do the work."
4247,Excellent professor!  Uses real-life applications to subjects that other teachers define just as textbook.  Very knowledgable!  Very approachable and friendly.  Highly recommend!
871,He's a very outgoing teacher.
897,"You only needed the books for tests and study guides are always given. However, we never talked about in depth was going on in the books so when study guides came around you didn't know what was on it. But test questions were taken from the end of each chapters. The final was super easy. Her directions are not specific."
551,"I really liked this prof!! He was definately my favorite. Very helpful and easily approachable. Makes sure you know your stuff and prepares you for the final. Makes you work hard, and gives hard tests but they aren't worth much."
2536,Very nice and sweet and cute.....really a good prof i say.  Da best so far...
2465,"I think his lectures are very fantastic.  I really love him... he's such a great guy!!!  But, I think he should get a hair cut though."
2619,"Going to class has little value since she attempts to rush through slides that she copied according to previous comments. I recommend doing all questions assigned. Most of her solutions to problems were WRONG, which shows slopyness, not acceptable in accounting. Bottom line, learn the material well. Not done course but I hear final exam is hard :("
1502,"If you're strategy in this class is to go to lecture, take notes, and listen to what this guy has to say, you might as well put your head in between your legs and kiss your ass goodbye in this class."
3350,She's not the best! she teaches but doesnt use her own slides. She can be unfair at times and she is rude to some of the students. Im just mad that she doesnt use a +/- grading system for this class! u could have one point to a B for instance(79%) I heard Harley was MUCH better
1395,she is a great professor...she involves the class a lot and tries to answer all relevant questions.... she also does a lot of demonstrations that make the class a little more enjoyable because you never know what's going to happen
70,"Very good professor, clear and funny."
1732,He sucks!!! Don't take this course!!
2028,"I took this as a Gen-ed, and had no real interest in the subject, but Dr. Goodenough was hilarious and basically tought a big Sex Ed course.  I didn't have to buy the text and she made all her notes available on webct in case you missed a lecture.  Tests were very straight forward. Seriously, take this class."
2417,"Difficult tests, too many pauses when he's teaching and generally very uninteresting."
1162,hes a very helpful teacher if you make the effort to go to class and the reviews overall the class was very interesting he definantly knows the material and theres a lot of ways to get points probably the best bio teacher there is
602,"Brit Lit I student- I failed his first exam, and aced his second exam. It takes a little while to get used to his teaching style, but if you ask for help he will do his best to assist you. DO READING & WRITINGS & SHOW UP FOR CLASS OR YOU WILL NOT PASS! You EARN your grade- English is my major, so if you did not succeed in 1301/02 don't bother."
4321,He might ramble a lot but as long as you print the online flashcards out for the test you will get an A. He is very sweet and tries to make the subject interesting. Take notes and study vocab and you will be fine.
4041,"He is one of the professor who enjoys insulting students who does not know the material well, avoid him if you can."
2659,"This course is easy to handle if you have taken accounting in high school. Otherwise it is difficult - get the textbook earlier in the year, teach yourself, and take it in the summer to do well."
2517,You would think that he would die if he actually helped a student.
3402,She can be intimidating but she &quot;scared&quot; me into learning and preparing before class in case she called on me.  Uses index cards to call on people randomly so be prepared.  I did well and I liked her as a professor.  Would recommend her if you tend to slack off or need motivation to study harder.
3317,"She lectures straight from the power points, which aren't hers by the way. Recitation is much more helpful than lecture but recitation is still a must to go to. If you pay attention, read the book, and do your homework you can walk away with a B. You have to try EXTREMELY hard for an A though."
2740,No Comments
3858,"Most engaging class I have taken thus far. Prof Bauman is energetic and an incredible teacher. She really cares for her students and will remember you outside the classroom. Two exams that come straight from the lecture, a field trip, and a design projects. This is the prefect art credit for those who aren't artistic but more interested in history."
670,very easy class and everything is clear... he's very helpful!
3520,"She's very enthusiastic and loves biology. Her tests are so confusing and way harder than other professors' for this course. Prepare to go to office hours, get a tutor, and read the power points until you have them memorized. 7 iClicker quizzes throughout semester, 2 are dropped."
