id,rating,review
4020,good,"Here's the truth about Prof. Lyons... If you are a kid that doesn't care and you are just there... He will not help you... But if you care, and strive to do the best... He will help you every step of the way. I used to believe everyone on here about how terrible he is, but really, he's just a hardass. It's tough love imo. One of the best teachers."
3654,average,The exams are 50 question multiple choice exams. Where about 40 of the questions require you to master every component of what she teaches. She does not teach you the answers during her lectures. And there is too much information to guess which is most important.
3919,good,This way the best class I took at Maosn. Dr.Bauman has managed to take a subject I thought I hated and make it something fun and interesting. You do need to take good notes and show up to class if you want to do well
2704,poor,All I have to say is ARROGANT!! He made a huge mistake with a set of test marks and didn't even apologize... the tests have nothing to do with lectures and the lectures lack organization and clarity... this course needs to be brought into the 21st century with less stress on memorizing usuless facts and more on problem based clnical learning
639,good,"JE can't keep the class engaged. Each lecture is usually him standing in front of a projector, talking non-stop until you are a zombie. He expects his literary analyses to replicate what he has taught in lecture. He also hasn't realized that his scheduling sets unrealistic goals at the end of the semester by overlapping essays & other assignments."
4252,good,"Her lectures are extremely boring, but as long as you have the the lecture slides you can pass the lab quizzes. For the exams do her STUDY GUIDES. That is basically her whole exam. Also understand the concepts, don't just memorize them. She applies them to everyday situations for the exam questions. All in all, it's a fairly easy class."
3734,poor,Useless is the first word that comes to mind. She is unable to make a answer key for her tests so every exam has to be returned for regarding. Her knowledge is limited to the slides so don't bother asking questions. Her class does make a good nap time if you need a break in your day though
0,good,"Does a great job at explaining the material clearly, and her lectures are interesting and engaging. If you want an A in this class you have to read the book and assigned articles, as well as prepare for quizzes, she is a hard grader so you won't get away with not knowing the material on the exams. "
2843,poor,"well, personally speacking, I don't like this prof thought he is very smart."
4315,poor,"It was difficult to pay attention in class though he went over each chapter through powerpoints. He didn't start sending poweroints out via email until the 2nd quiz. If you study the vocab from each chapter, you should be fine, but don't expect that you don't have to study. Contact the TA, not Dennis."
2882,good,Really recommend this course! He's an excellent professor. 
3895,good,"Before taking the class, I dreaded having a 9am ARTH class. But it actually was the most interesting/funny class I have taken. She is so passionate and she makes the class a lot more bearable. Its an easy A if you go to class and take notes. The tests are almost verbatim from the lecture notes. Don't get the book unless you plan on missing class."
1374,good,she really is amazing... her examples make everyone understand everything... plus shes pretty cute
247,average,Very hard class if u dont have a good TA so try to get a good one. practice all old exams because he gives the EXACT same problems in exam. P.S dont practice the exams he posts on bb. try to get high scores in all lab reports and practice problem sets. wait for the genetic test as it will screw up ur grade.
1837,good,Extremely enthusiastic!!! Loves psychology and made the class very fun!! The class wan't hard either.
4322,poor,"He likes to ramble and does not know how to use technology. If you are going to take this class, be prepared for an old fashioned, listen and take notes lecture. He is very friendly, but I did not enjoy his class"
1504,poor,DO NOT TAKE THIS CLASS! TAKE ANY OTHER TEACHER he is horrible. he make you want to kill yourself and never take math again. DO NOT TAKE THIS CLASS
3339,good,"This class helped me decide to major in accounting instead of Ops Mgmt! Hylton is a really good teacher, lectures and examples are crystal clear. Tests aren't a walk in the park, but they aren't impossible. Do EVERY hw before lab/study before tests and you will do fine. Shares interesting real life accounting experiences. I'm walking out with an A."
2764,poor,Possibly the worst prof I've had so far....
3372,poor,TERRIBLE TEACHER! THE ONLY REASON I PASSED THE COURSE WAS BECAUSE I HAD PREVIOUS KNOWLEDGE OF ACCOUNTING.  ****SAVE YOURSELF****
1522,poor,No Comments
1598,good,He explains everything very clearly and helps class with problems in class.  A good teacher and an easy class
3523,good,She is a great teacher. Her power points are very helpful. She is excited to talk about biology and explains things well. Not an easy A class but do the study guides she provides you and you will be fine. She gives you everything to succeed so if you fail it is on you. She is also good one on one. Seek her help if you don't get something.
3619,good,"Fondufe is probably as good your gonna get for Cell Bio. at Mason.  Suck it up, go to class, and read the text book and you'll be fine."
1626,poor,He rambles about formulas and theories that have nothing to do with the content that's on the test. He does manage to be funny at times but there's nothing funny about not being able to do well in exams and failing the class. He isn't able to deliver concepts well. Unless you're really good at maths don't even bother taking this class.
2683,average,Simplifies everything to the point of not explaining enough.
2346,good,"Only Prof to make me repeatedly chuckle every lecture. Explains concepts fairly well, and is always passionate about the lecture content. Some may disagree, but I enjoy his humour and mannerisms. Definitely recommend for Organic Chem."
3976,good,"Great teacher, she loves the subject and will have you loving it too. She is very energetic and makes the class an awsome experience!"
278,good,He's a really interesting person to listen to although most of his information that he shares with the class are from documentaries.
952,good,LOVE LOVE LOVE LOVE her!!!! She's super fun and her class is always exciting! I looked foreward to her class week! She's always trying to help u pass and makes everything pretty easy to do! HIGHLY RECOMMENDED!!!  BEST TEACHER EVER!! :)
2620,average,"uh oh, the class average is high going into the exam...prepare to be destroyed"
4281,good,"Very kind and sweet guy. Really cares about his students and genuinely wants them to do well. His class is pretty easy, but he makes lectures interesting and fun. Would recommend him a hundred times over. Love him."
2515,good,Great guy
3788,average,"Boring! Attend her lectures: some of her stories appear on the exams. You never fully understand the lab concepts because you go through numerous lab exercises each day. All tests are M/C, lecture and in-class HW are very easy, and the textbook is useless. I researched the material for exams and received an A for my final grade. She gives two options for the final exam."
2628,average,She is okay..The slides collect the majoy points of each chapter and her class is basically slides reading... The book did a great job of explaining the concepts and we have to work hard!
2994,good,"An unforgettable man. Even though I got tired of learning about transcriptases, I loved coming to class, because he was just so inspirational."
2609,good,She teaches in a condensed way (can be good or bad). You can choose either between her lectures+notes or rely on the textbook 100% to succeed in the course. The exam was quite hard. I heard that she s better when she teaches upper-yr (mgt223) accounting courses.
4146,good,"A very brilliant and quite knowledgeable professor. Very sharp in his field.  This guy is absolutely hilarious at times.  In terms of grading and difficulty, I would say he is somewhat challenging, but as long as you come to class and study what he tells you to study, you should be ok."
1859,good,"I really liked this class, and the professor. She is a very nice woman, and tries to get to know as many of her students as she can. I enjoyed this class, but I didn't put in as much effort as I could have. I forgot to do a lot of the concept quizzes. Those really do help!"
2184,good,"Very interesting course, well taught."
155,poor,Easily one of the worst classes I've ever taken. He does not teach what is needed to be taught in a biology courses. We are tested on random useless facts that are found in his 200 slide powerpoints rather than information we are going to actually need for future biology classes. I highly recommend avoiding him if possible.
3770,good,"Very kind Professor, very helpful. She wants you to pass the course and offers a lot of extra credit. She supplies the class with learning guides via BB, which are EXTREMELY helpful in studying for the exams. Exams make perfect sense and are logical. Lectures are well thought out and power point presentations are a positive. Highly Recommended!!!!"
985,average,"Literally no notes given within the powerpoints besides a few subtitles on diagrams. Tests are 70% true/false, 25% matching, and 5% questions that he makes mistakes on. Useful diagrams provided during exams, but won't help that much unless you know what you are doing. Attend SI sessions, definitely helpful and it will provide study guides."
2402,poor,This course is like any other course at this horrible university.  The content is ok.. the prof presents the easiest questions from the book and then the tests have NOTHING to do with lecture/tutorial/textbook/notes!!!  What is wrong with these ****s&#63;&#63;
1497,poor,"He derives every equation, never giving any examples. Sit in on Professor Calden's classes, you'll Ace the class. His classes are unbearable."
1539,poor,Most disgusting and vile math instructor at Umass. His classes are a complete waste of time. Avoid like the plague. The worst of the worst.
2023,good,such an easy class...she is hysterical
1842,good,"Lots of energy and demanding, but a good introduction to the subject."
3990,good,"This is a confusing class.  He lectures a lot and all of the midterm questions are created from his lecture/videos so pay attention.  First half to midterm is fairly easy.  There is one major group project that lasts the whole semester you will have to be creative, however the requirements are rather ambiguous.  Participate as best you can."
2552,good,he's so cool. He says so many funny things and he likes the material.
2097,poor,"Textbooks are very difficult to understand. Uses his own textbook of course and replaces them very frequently. Perhaps, consideration to students' finance as opposed to his own would make him more popular among students. Tests are VERY difficult. More problematic, don't think he's the one that actually write them."
3277,poor,Do not take this professor! Believe me. She is the worst prof. I ever had in my life. She is not helpful at all and too hyper to focus on what she is supposed to do. My GPA is 3.37 and I had to withdraw so that my GPA would not be affected.
2985,good,best prof ever ! he actually did change my life ;; he motivated students a lot to achieve their best :]
4367,poor,Took him as a freshman. Hated the class! Boring lengthy lectures. Too much reading! I would take someone else. Earned a B
700,good,"You either love her or you hate her. I personally love her, this is the 2nd class I'm taking with her and I'll take another if I can. She's crazy and funny, her classes are usually never a bore. She's a little disorganized but her class is an easy A as long as you do the work and go to class. Unlimited paper, presentation, 2 exams (15%) & journals."
1461,poor,"Not a very helpful professor and kind of confusing.  I had a great SI teacher though and managed to do very well in the class.  Just read the text book and if you are lost there are plenty of tutors to help.  Probably the hardest calc, calc III was pretty easy."
644,good,Extremely hard! but he was helpful and answered every question and email.
1807,good,"Professor Whitebourne is an very enthusiastic professor and she incorperated many fun activities. She is easily my favorite professor this semester, unfortunatly I did not put in much effort. But I would say that this class is very easy and very informative. It made me decide that I wanted a major in psychology"
929,good,Professor Christopher is an excellent teacher. Anyone that is majoring in Criminology needs to take her at least once. She is very personable and she knows her Crim!!
3235,poor,"I had Harley before, so I was scared to take her, but she wasn't that bad. She is really rude so I didn't learn anything from her. Do EVERYTHING on connect and the textbook, she does put similar questions on the test. I got a D with Harley and a B with her"
2177,good,"Great webpage. Used more slides in lecture after students requested he do so. Other than main textbook the clicker/softcover and workbook not necessary. The $190.00 price could be reduced by not incorporating these. Prof. has socialist bias, very left wing. Huge amount of reading. Multiple choice and essay que. on test very difficult. Ave. mark = C"
2865,average,"invites you to asks questions , then insults you in front of the class."
246,good,Molumby is charismatic and easy to follow in lecture.  He is passionate about biology.  He's also willing to answer your questions (although try to catch him in person--he's not great with email).    MEMORIZE THE POWERPOINTS (I used flashcards) and look at the book and lab manual.  Turn in detailed lab reports.  GO TO LECTURE.
2183,average,He wrote the textbooks we're using and one of them is just articles... which we rarely discuss in class.
923,average,"Interesting subject and love the class. Seems very opinionated and loves to share them everywhere. That's cool. Would have been better but we were forced to buy HER book for around $50+ for class, but honestly, it has very little need being there and just seems more like self promotion. Also have to tear out pages from it - so no selling it back."
3115,good,"He's a decent teacher, but as a person, HE SCARES ME."
1185,good,"Wow, good bio teacher. Knows his audience, delivers his subject wonderfully. Tries to make things as clear as possible, is always at office hours and has weekly review sessions. My class gave him a standing ovation."
4087,poor,"Lyons is by far the worst professor at GMU. Our University should be embarrased to even have somebody like him representing this school.  He is very rude, disrespectful, and when you ask for help he makes you feel like you have half of a brain.  NOT the qualities of a good professor.  I would highly recommend that GMU replaces him IMMEDIATELY!!!"
669,poor,No Comments
2130,good,Very hard class. Couldn't figure out what 25% of 1000 was!  Inequality is fascinating. Can't get enough of tax redistribution and inequality. Sociology rocks!!!! I died laughing when he &quot;accidentally&quot; said scam instead of tax!
1666,poor,"Cook would be better off as a 1950's stand up comedian than a math prof. he doesnt explain ANYTHING and his &quot;examples&quot; in class are nothing like the ones on the exams. As far as technology goes, he has no idea what a computer is, and will constantly refer to it as &quot;the machine.&quot; Thank god i took calc in high school, or else i wouldve prob failed"
2312,poor,the course could have been more interesting if the prof wasn't boring.
1421,good,"Amazing teacher, by far the best I've ever had.  She single handedly made me want to be a Psych major."
3233,poor,"If you read the book before lecture, her lecture can help you understand the general gist of the text but not how to actually do anything. As said, she doesn't answer questions and her exams are wayyy harder than necessary. I read the book and took every quiz on connects website and still didn't pass. Puts things on the exam she said she wouldn't."
2321,good,"Great course, interesting and an easy A+"
648,good,"Mr. Everett is a nice guy and very helpful if you ask for help. You can tell he is passionate about Brit Lit. His lectures can be a bit boring, but he can be funny at times. His tests aren't too bad if you study, but he does require a short essay to be written WHILE IN CLASS. He does provide a review sheet, though."
543,good,"Nancy isn't a bad teacher at all.  She's a little vague sometimes and kind of a rough grader on essays, but her quizzes actually make getting a decent grade a little easier."
1904,good,"Easy class, but hard to get the motivation to go, because the class is simply a reiteration of the book."
1512,poor,"Um...writes more notes than my English teachers do. Sometimes makes mistakes in the examples, and gets everyone confused. In at least 90% of my classes that I attended, about 50 people have just walked out. He rarely uses the book, but I suggest you follow it like no other, because it's your only hope. OWLs- Do well on them and you're golden."
2876,poor,Good professor.
259,average,"Class was way too hard for what it was.  Tests were comprised of 40 fun-fact questions, making it impossible to study for.  Would rather have learned about organelle biology that more directly relates to us.  That being said, he's a very cool teacher/ guy/ dude.  And makes it entertaining during lectures.  Still too hard though."
3722,good,"Really good teacher, you can tell she knows what she's talking about and enjoys teaching. EVERYTHING you need to know about her class is in the syllabus. Just make sure to do the MES assignments and show up to lab. The tests are fairly easy, all the information is either in her powerpoints or in definitions from the lab book."
2309,average,"cocky, repetitive (lectures=readings), testing method is absurd"
927,good,"SHE IS good! I loved her! She was really helpful and looked out for the class. Just make sure you show up and do what she says and take her notes and you will be good! Oh, she is kinda all over the place. But she is still funny af!"
612,good,"This class is really pretty simple.  The exams are take-home and are pretty easy.  He has high expectations for the essays but gives you all the tools you need to do well.  You get to turn one of your regular essays into the research paper, which makes that big project so much easier at the end of term.  Do what he asks and you will do well!  "
1023,average,"Very funny and inspirational guy. I recommend voice taping his lectures because there is no other way to review info that you need to know. Do not bother buying textbook. Tough truefalse exams. Quizzes every week (sometimes open note). Says ""it could be A or B"" in class and expects students to choose between the two on exams. Lots of grey areas..."
3526,good,"Great teacher. Slides in class come straight from the book. Has a few easy pop quizzes so come to class. Class can get a little dull, but she was very passionate and always full of energy. Read the book and got a 97 on almost every exam. She adds ~4 points to every exam as a curve. Fantastic teacher. Would absolutely recommend."
1152,good,he is now officially my favorite teacher of all time!  He makes you think and use what you've learned in order to come up with conclusions.  He is far more than a teacher that says here memorize this.  I love Prof. Phillis....I wish I didn't have to leave his class!!
219,average,"Smart guy but you gotta follow the flow of his conversations to keep up. Really nice and helpful but don't expect him to be your babysitter. Kinda hot too...this guy can really pull off a mild, scruffy, bearded look."
3795,good,Nice teacher. Way to easy. Review notes and old exams you will be fine. Don't buy the book and never attend class. Go to labs ...
485,good,"Absolutely LOVE him! Class attendance is mandatory, but he gives chances at extra credit! His tests are straight from the study guide, maybe one or two questions from the book. He is easy if you just pay attention!"
3046,poor,"Honestly, Dr. Moylan is the worst teacher to ever step on my high school campus. His snobby and arrogant attitude, accompanied with his unwillingness to help his own students, creates an aura of negative tension throughout the class. His tendency to purposely fail anyone whenever possible is due to his anemic attitude of thinking he was successful."
1783,poor,No Comments
258,good,"I was not sure what to study for the first exam, but after taking it, it is best to study his powerpoints and pay attention during lectures. It may seem like he is saying random things, but if you really listen you can see why he is telling this. Labs were very helpful in understanding lecture as well. Powerpoints best thing to study, I got an A."
3427,average,"lectures are boring.depend on yourself to read slides and book cause she won't stop and go over it.she's the only 203 teacher if you don't go to her lecture, i highly suggest that you don't miss lab. use the book, hw, and study guides to your advantage. she'll call you out if you leave lecture early"
386,good,"Molumby is a funny guy, he can be an ass sometimes when it comes to labs, but overall hes good. Exams are basically the same as his practice exams. Not an easy class!"
847,poor,"the worst teacher ever, who cares about how the formulas were developed.. TEACH US HOW TO USE THEM! dont take this class if you cant teach yourself some pretty difficult math"
3052,average,"The class is too much work. You do learn a lot though and in the end it is worth it. I liked it. This must be taken with a grain of salt because I also enjoy dressing up in latex and being whipped. He is not a bad lecturer. Unfortunately he does not lecture on everything you need to know to complete the lab reports, the rationale being that you nee"
2015,good,"professor goodenough is one of my favorite teachers of the year. she is easily approachable and the course material is fairly easy to learn. if you don't do well on tests, there is an optional research paper at the end of the class, which everybody seemed to get an A on. if you go to class, and study, you will do well."
2585,poor,"terrible, absolutely horrendous. I don't know why UofT lets her teach, shes useless and her voice is annoying. i hope she reads some of the comments that have posted on this website. I feel sorry for those who are going through hell with this woman, I know I barely survived!!"
3400,good,I am not an accounting major but Hylton was my favorite professor at mason. She was very straight forward and while the tests were hard she pointed us in the right direction. Did a great review session too.
4226,average,"For some reason, she made the exams so hard, that its hard for foreign students to get A or B. You have to give up on all your other class to get A or B. The question in the exam are too long, no time to fish all the question. I don't know its her making the exam or the crazy lab PHDs, wants us to be at their level."
1962,good,"She is one of the greatest professors. You can easily pass without showing up, but going to class is actually fun. Lots of good laughs in there. Great as a Gen Ed especially if you take it with a couple friends"
1233,good,No Comments
1747,poor,No Comments
4077,good,"Please don't judge this professor your first week of class, he appears to be a mean person but he is not. Just relax and learn, his is entertaining and you will learn A LOT! His homeworks are due 2 weeks after they are assigned. Gives study guides which are very helpful. Slides helped me study for the test than the book."
3367,poor,"She is the worst teacher in the world. She doesn't any knowledge specially computer. Don't take with her Acc301, 361. You will get an F."
3028,good,Wow I am amazed by him!  He makes me want to become a virologist and he's sooooo hot!
3196,poor,"Hylton is the worst teacher I have ever taken. She does not understand any of the material for Accounting Information Systems. She gives tests not related to her study guides. If you have to take it with her, find a friend or two in Kitching's class, and you might make it through. May your respective God(s) have mercy on you."
1095,good,Great Professor!  He challenges his students to think in ways we are not used to.  This will definitely help us in the future biology classes.
3463,good,"Enthusiastic. She uses her entire body and every ounce of energy to explain the littlest things. She really cares about her students. She drops the lowest test grade, loves her job, assigns online homework, and gives out study guides for her exams. Attendance is not mandatory."
1991,good,"AMAZING teacher! I cannot stress this enough. I was a &quot;go to class when i could&quot; type of student... but i, legit, wanted/went to everyone of Professor Goodenough's classes, as did everyone else in mahar. I without a doubt suggest this class. If you want a less stressful, education, and extremely humorous class... DEFINITELY take this one."
1320,good,"Tammy was the coolest teacher by far. This class was one of my favorite, she made the material interesting. Tests and online quizzes are easy. If you don't get an A its your fault. Highly recommend this class."
3128,poor,No Comments
507,good,... never had a better prof...
7,good,"Dr. Hora is an excellent professor who truly cares about politics and students.  Definitely expects hard work and tests can be difficult but grades fairly and the classes aren't a problem if you study.  Class participation is a must.  If you are interested in politics, you'll enjoy her classes. If not, I'd save your GPA the trouble."
3701,average,No. Just no.
2414,good,available for extra help after classes and willing to clarify in class questions with utmost attention and detail. treats students as equals.
3959,good,"She's a really nice professor, and the class is easy too. (this is 100 level) I want to recommend her."
2473,good,amazing guy..aslays their when u need him and is always very helpful....computer dummy...but hes really really cool
3695,average,"Probably the most pointless class I've taken. Easy A, but didn't learn anything. The book for lecture wasn't even cracked open. Must by the lab manual! She does Tophat questions periodically, sometimes in the beginning or lecture, or towards the end. She also does in-class activities throughout and you only have do to do 4 of them. It's an easy A"
1450,poor,"If you have taken calculus in high school and register for this class you will be all set. Extremely boring class, didn't buy the textbook, went to class once a week, passed with an A. Buy the online version of the book and you will be all set. But if you need to actually learn from him, choose another teacher."
2607,poor,"Horrible prof.  At first, seemed very nice and classes seemed easy, but then the test were horribly hard and grading unfair.  At first I wanted to be an accountant, but then decided not to because of her.  Worst prof ever."
378,good,"Dr. Molumbys exams always bewildered me but, one thing is for sure the guy raised my interest in biology. He was a really great lecturer, I missed like one class and I regret doing that because he always had something cool to say. Nice guy Hard class. Take him if you are interested in the subject if not chose a diff class."
3892,good,"This class was so much better than what I was expecting. Professor Bauman is so passionate and engaging that the information is easy to learn because she makes it fun to learn. No textbook needed which is great, but make sure you come to class because she doesn't post the slides. Take good notes and study and you'll get an A."
678,good,Everette's easy but he's got this thing where he wants you to believe what ever he believes. He gets fustrated when you analyze a piece of work differently from how he analyzes it. Over all he's easy.. just picky at times.
773,good,"He really gets the material across well and is very invested in helping you learn.  If you don't get something, he'll teach it until you get it.  He's also really entertaining for an old dude as well."
1703,average,"He jumps into examples and never tells us how he got there. some things he teaches in class arent in the book so theres no way to study some of it, and before the final he tries to teach us new stuff whispering all throughout (cold) and there was 2 pages of that on the exam. i am premed, and because of his work, i am now at a major disadvantage."
1011,average,"He teaches you how things work when they are wrong, but doesn't explain how things work when it works correctly. Doesn't mesh well with my style, however the SI sessions were the only reason I passed the class!"
1966,good,"dont buy the $100+ book (buy $10 notes) Like others have said, you have VERY little Homework, and TONS of extra credit. There are 4 tests in a semester. She drops the lowest of the FIRST THREE will not drop the 4th. Optional final AND research paper if you aren't doing too well (they only help)Sometimes she gives you extra credit for showing up"
1777,poor,"Please retire...you waste our time. Unclear, inconsiderate, unprepared, and lazy"
4245,good,"Course content was interesting.  She should find a way to create tests that can be handed back to the students for a better learning experience.  Although, a passing grade is all you need if you do well on all the quizes and hw.  Difficult&#63; No, Easy A with some work (30 min before ea class), yes."
65,good,Just want to give this guy and the Stanford everywhere program a big shout out. Thank you so much.
3588,poor,She is an okay teacher but if you have any trouble understanding accents do NOT take her. She has a very thick accent which is hard to understand while she speaks. I don't go to class because I can't understand her!
3633,good,"She has a lot of energy and tries to make it interesting.  I had her for lab, and thought she was great."
3503,good,Lectures were a bit funny. You need to buy the code to do the weekly masteringbiology assignments. She gives free response study guides for each chapter. There are a total of three multiple choice exams. I had this professor for both lectures and lab. If you do your work correctly and turn it in on time then you'll get the points.
2164,good,Take this course! The best Prof.
679,good,"Easy Easy teacher. Taught the same stuff from high school. Funny, easy going, reasonable, understanding. Rumor has it he's the easiest english teacher at CTC."
2302,good,He did NOT lecture from the book. Those who say he did must have got F.
2227,average,"like his lectures, hate his pride and stubborness, sociology man! show some mercy! unless you're a hypocrite."
781,poor,"im pretty sure thurlow doesnt know how to even use a computer. yes im bad at math, however going to class doesnt help and neither does homework. he gives homework problems on wiley that dont come close to problems u see on exams he also posts homework assignments late.he doesnt post grades on spark, and you cant bring up your grade other than exams"
3194,good,Guys I took this class in summer and online. I would strongly suggest you buy the textbook. Read the chapters assigned and then do the homework's and later on go to the quizzes on connect. 85% of the questions on the exam come from the connect. Practice them over and over again. I worked a lot for this class. u Need to understand the material well.
627,average,I took this course to get ahead in credits so I could continue to graduate on time. I do not recommend taking this course online because all of his lectures are 1 1/2 hour long power points that you have to watch all of to see whats on the test. His reviews for each test also give you no insight into what his tests will be like.
3174,poor,"You do not have to come to class, because even if you come to the classroom, you will not be learning anything from her. Mostly, you have to teach yourself throughout the semester. Very challenging instructor, getting an A is quite possible if you invest ridiculous amount of time on practicing the Connect homework and quizzes.  DON'T TAKE HER !"
1786,average,Half the lecture is totally irrelevant story-telling. Pretty annoying. Just restates everything she put in the book.
1971,good,LOVE HER! She uses interesting examples and always tries to make everone laugh. Her tests aren't too hard and she offers a lot of extra credit. I definitely would recommend her class!
2821,average,not bad
2545,good,"his notes ARE pretty good, and he's so nice"
883,poor,"class is almost almost useless, hard to prepare for tests."
1091,good,"A down-to-earth guy. Multiple true/false tests are a drag, though."
382,poor,This is the worst class I have ever taken!!! I do not recommend this class!! It sucks.
1702,poor,"THIS MAN IS THE WORST PROFESSOR @ UMASS. he doesn't take questions in class, goes over problems way too fast and with no clear direction to them. he doesn't use numbers in his problems ever even if a student yells to him that he should. if you are going to take Math 127 take it with Calden. I failed and will have to wait to declare my major."
3370,poor,"this lady is whack... she doesnt care about the studetns at all, and is very hard to deal with"
1907,poor,"Teacher gone CrazY!... so unclear, her mind is all over the place. honestly, worst teacher ive ever had. So unorganized, SO unclear. Waste of time to show up to her class. SHES NUTS."
2886,good,"The course material is long and sometimes dry. But he does a good job of teaching. Do the readings, attend lectures, and apply what you learn to day-to-day life and you'll find that an A is easy. U of T is a rigourous school, and anything less challenging than his course would be a waste. Don't be lazy, put the effort in and you'll do fine."
31,good,Terrific teacher!  I love her!  Makes the topic interesting!
2583,poor,All the bads things people have said about her on this website is 100% TRUE. She is not friendly and gives major attitude when you ask her for help for assignments. She always directs you to the TA. She started off the year very nice then she became a totally different person by week 3. She doesnt seem to like her job. Avoid her at all costs!!!!!
2856,average,"Avoid the course at all cost, unless you love memorizing..."
3409,poor,"Way to anal about cheating, but the accounting department seems to be that way in general.  Went through lectures too fast and was harsh with answering questions and grading projects."
610,good,"Mr. Everett's class was very difficult for me, but worth it! I learned so much from him and he always gave fairly specific feedback on papers. His powerpoints are LONG so be prepared to write and do all the examples he gives. Recommended to anyone wanting to transfer to a 4-year university and really be prepared. "
570,good,"he is a decent prof, he tries hard"
2347,good,"Very engaging prof, talks at a very reasonable pace. I personally thought he went a bit too slow but to be fair I do have a fairly solid chemistry background.  He always pours his bottled water into this tiny little mug that he carries around with him everywhere; quite amusing. Overall, engaging lectures, clear grading criteria."
343,good,"Dr. Molumby is a FANTASTIC professor.  This class is not for slackers or those that don't go to lecture or read the text book, and it is TOUGH!  I read everything I could and attended all but 3 lectures, I ended up with a 'B' it was the toughest 'B' I ever earned.  Dr. Molumby is very professional and really cares about his students.  good Class"
2325,average,thanks for the early days when hockey or basketball is on!! You rock!
3065,poor,"The chem labs are very very bad classes, and Moylan's a terrible lecturer. The lectures make no sense and are basically useless. Don't even go. If you get a bad lab TA, you're screwed. I worked my ass off in Chem 36 and still got a B. Then I learned and took Chem 130 CR/NC and did almost no work."
4364,good,Prof. Dennis is great -- class is pretty easy. Sometimes lectures are a little boring but the material and text are interesting. I'd recommend him.
3600,good,Fondufe is easily one of the best prof. i took this semester. Her powerpoints are online so u dont need to even get a book.She is extremely knowledgeable on the subject. One drawback is her tests are really hard and all of the information from the ppt is reworded so u basically have to know it inside and out to get an A
3868,good,"You will DIE in Dr. Buaman's class. (In a good way of course) She is energetic and really cares about her students. She clearly teaches you about art and makes it fun. Her stories are great and make the class more interesting. The class consists of pop quizzes, but if you read you will be fine. Exams are clear and concise, just read and take notes."
2952,good,"Great teacher and human being. Incredibly knowledgeable, helpful and kind. The best!"
1509,poor,No Comments
1736,poor,No Comments
2104,poor,Brym made material that could have been interesting very boring.
1135,good,"Randy is a great guy, he is funny and usually makes class not boring,reads the police reports at the beginning of class, however sometimes he goes off into his own little rants. The class isn't what you may think bio 100 would be...it's not memorizing different parts of the plant and animal cells and learning what a nucleotide is...its more the bio"
3810,poor,"This class is easy if you actually come and take notes. Her study guides take forever to do, but if you do them you'll probably get an A."
3338,good,"Great teacher. Just attend class, take notes, and read. She gets an average rating simply b/c its hard to review previous graded tests unless its conveinient for the teacher aid. Its hard to study for finals w/o the inconvienience of having to look at previous tests when they are conveinient for the teacher aid."
841,average,"The professor is funny, but going to his class is pointless because he doesnt know how to teach."
